05.23.10.59.34.392	 Left: 1.0 Right: 1.0
05.23.10.59.34.643	 Left: 1.0 Right: 1.0
05.23.10.59.34.893	 Left: 1.0 Right: 1.0
05.23.10.59.35.144	 Left: 1.0 Right: 1.0
05.23.10.59.35.394	 Left: 1.0 Right: 1.0
05.23.10.59.35.644	 Left: 1.0 Right: 1.0
05.23.10.59.35.894	 Left: 1.0 Right: 1.0
05.23.10.59.36.144	 Left: 1.0 Right: 1.0
05.23.10.59.36.394	 Left: 1.0 Right: 1.0
05.23.10.59.36.645	 Left: 1.0 Right: 1.0
05.23.10.59.36.895	 Left: 1.0 Right: 1.0
05.23.10.59.37.145	 Left: 1.0 Right: 1.0
05.23.10.59.37.395	 Left: 1.0 Right: 1.0
05.23.10.59.37.646	 Left: 1.0 Right: 1.0
05.23.10.59.37.896	 Left: 1.0 Right: 1.0
05.23.10.59.38.147	 Left: 1.0 Right: 1.0
05.23.10.59.38.397	 Left: 1.0 Right: 1.0
05.23.10.59.38.647	 Left: 1.0 Right: 1.0
05.23.10.59.38.897	 Left: 1.0 Right: 1.0
05.23.10.59.39.147	 Left: 1.0 Right: 1.0
05.23.10.59.39.398	 Left: 1.0 Right: 1.0
05.23.10.59.39.648	 Left: 1.0 Right: 1.0
05.23.10.59.39.898	 Left: 1.0 Right: 1.0
05.23.10.59.40.149	 Left: 1.0 Right: 1.0
05.23.10.59.40.399	 Left: 1.0 Right: 1.0
05.23.10.59.40.651	 Left: 1.0 Right: 1.0
05.23.10.59.40.901	 Left: 1.0 Right: 1.0
05.23.10.59.41.151	 Left: 1.0 Right: 1.0
05.23.10.59.41.402	 Left: 1.0 Right: 1.0
05.23.10.59.41.652	 Left: 1.0 Right: 1.0
05.23.10.59.41.902	 Left: 1.0 Right: 1.0
05.23.10.59.42.153	 Left: 1.0 Right: 1.0
05.23.10.59.42.403	 Left: 1.0 Right: 1.0
05.23.10.59.42.653	 Left: 1.0 Right: 1.0
05.23.10.59.42.904	 Left: 1.0 Right: 1.0
05.23.10.59.43.154	 Left: 1.0 Right: 3.0
05.23.10.59.43.404	 Left: 1.0 Right: 3.0
05.23.10.59.43.654	 Left: 1.0 Right: 3.0
05.23.10.59.43.905	 Left: 1.0 Right: 3.0
05.23.10.59.44.155	 Left: 1.0 Right: 3.0
05.23.10.59.44.405	 Left: 1.0 Right: 3.0
05.23.10.59.44.655	 Left: 1.0 Right: 3.0
05.23.10.59.44.905	 Left: 1.0 Right: 3.0
05.23.10.59.45.156	 Left: 1.0 Right: 3.0
05.23.10.59.45.406	 Left: 1.0 Right: 3.0
05.23.10.59.45.656	 Left: 1.0 Right: 3.0
05.23.10.59.45.907	 Left: 1.0 Right: 3.0
05.23.10.59.46.157	 Left: 1.0 Right: 3.0
05.23.10.59.46.407	 Left: 1.0 Right: 3.0
05.23.10.59.46.658	 Left: 1.0 Right: 3.0
05.23.10.59.46.909	 Left: 1.0 Right: 3.0
05.23.10.59.47.159	 Left: 1.0 Right: 3.0
05.23.10.59.47.410	 Left: 1.0 Right: 3.0
05.23.10.59.47.660	 Left: 1.0 Right: 3.0
05.23.10.59.47.910	 Left: 1.0 Right: 3.0
05.23.10.59.48.160	 Left: 1.0 Right: 3.0
05.23.10.59.48.411	 Left: 1.0 Right: 1.0
05.23.10.59.48.661	 Left: 1.0 Right: 1.0
05.23.10.59.48.911	 Left: 1.0 Right: 1.0
05.23.10.59.49.162	 Left: 1.0 Right: 1.0
05.23.10.59.49.413	 Left: 1.0 Right: 1.0
05.23.10.59.49.664	 Left: 1.0 Right: 1.0
05.23.10.59.49.914	 Left: 1.0 Right: 1.0
05.23.10.59.50.165	 Left: 1.0 Right: 1.0
05.23.10.59.50.415	 Left: 1.0 Right: 1.0
05.23.10.59.50.665	 Left: 1.0 Right: 1.0
05.23.10.59.50.916	 Left: 1.0 Right: 1.0
05.23.10.59.51.166	 Left: 1.0 Right: 1.0
05.23.10.59.51.416	 Left: 1.0 Right: 1.0
05.23.10.59.51.666	 Left: 1.0 Right: 1.0
05.23.10.59.51.917	 Left: 1.0 Right: 1.0
05.23.10.59.52.168	 Left: 1.0 Right: 1.0
05.23.10.59.52.418	 Left: 1.0 Right: 1.0
05.23.10.59.52.669	 Left: 1.0 Right: 1.0
05.23.10.59.52.919	 Left: 1.0 Right: 1.0
05.23.10.59.53.170	 Left: 1.0 Right: 1.0
05.23.10.59.53.420	 Left: 1.0 Right: 1.0
05.23.10.59.53.670	 Left: 1.0 Right: 1.0
05.23.10.59.53.920	 Left: 1.0 Right: 1.0
05.23.10.59.54.172	 Left: 1.0 Right: 1.0
05.23.10.59.54.422	 Left: 1.0 Right: 1.0
05.23.10.59.54.672	 Left: 1.0 Right: 1.0
05.23.10.59.54.923	 Left: 1.0 Right: 1.0
