05.24.08.40.53.981	 Left: -1.0 Right: 4.0
05.24.08.40.54.231	 Left: -1.0 Right: 4.0
05.24.08.40.54.482	 Left: -1.0 Right: 4.0
05.24.08.40.54.733	 Left: -1.0 Right: 4.0
05.24.08.40.54.983	 Left: -1.0 Right: 4.0
05.24.08.40.55.233	 Left: -1.0 Right: 4.0
05.24.08.40.55.484	 Left: -1.0 Right: 4.0
05.24.08.40.55.735	 Left: -1.0 Right: 4.0
05.24.08.40.55.985	 Left: -1.0 Right: 4.0
05.24.08.40.56.235	 Left: -1.0 Right: 4.0
05.24.08.40.56.485	 Left: -1.0 Right: 4.0
05.24.08.40.56.736	 Left: -1.0 Right: 4.0
05.24.08.40.56.986	 Left: -1.0 Right: 4.0
05.24.08.40.57.236	 Left: -1.0 Right: 4.0
05.24.08.40.57.487	 Left: -1.0 Right: 4.0
05.24.08.40.57.737	 Left: -1.0 Right: 4.0
05.24.08.40.57.987	 Left: -1.0 Right: 4.0
05.24.08.40.58.238	 Left: -1.0 Right: 4.0
05.24.08.40.58.488	 Left: -1.0 Right: 4.0
05.24.08.40.58.738	 Left: -1.0 Right: 4.0
05.24.08.40.58.988	 Left: -1.0 Right: 4.0
05.24.08.40.59.241	 Left: -1.0 Right: 4.0
05.24.08.40.59.490	 Left: -1.0 Right: 4.0
05.24.08.40.59.740	 Left: -1.0 Right: 4.0
05.24.08.40.59.991	 Left: -1.0 Right: 4.0
05.24.08.41.00.241	 Left: -1.0 Right: 4.0
05.24.08.41.00.492	 Left: -1.0 Right: 4.0
05.24.08.41.00.742	 Left: 1.0 Right: 1.0
05.24.08.41.00.992	 Left: 1.0 Right: 1.0
05.24.08.41.01.242	 Left: 1.0 Right: 1.0
05.24.08.41.01.493	 Left: 1.0 Right: 1.0
05.24.08.41.01.743	 Left: 1.0 Right: 1.0
05.24.08.41.01.994	 Left: 1.0 Right: 1.0
05.24.08.41.02.245	 Left: 1.0 Right: 1.0
05.24.08.41.02.495	 Left: 1.0 Right: 1.0
05.24.08.41.02.745	 Left: 1.0 Right: 1.0
05.24.08.41.02.995	 Left: 1.0 Right: 1.0
05.24.08.41.03.245	 Left: 1.0 Right: 1.0
05.24.08.41.03.496	 Left: 1.0 Right: 1.0
05.24.08.41.03.747	 Left: 1.0 Right: 1.0
05.24.08.41.03.997	 Left: 1.0 Right: 1.0
05.24.08.41.04.248	 Left: 1.0 Right: 1.0
05.24.08.41.04.498	 Left: 1.0 Right: 1.0
05.24.08.41.04.748	 Left: 1.0 Right: 1.0
05.24.08.41.04.999	 Left: 1.0 Right: 1.0
05.24.08.41.05.249	 Left: 1.0 Right: 1.0
05.24.08.41.05.499	 Left: 1.0 Right: 1.0
05.24.08.41.05.750	 Left: 1.0 Right: 1.0
05.24.08.41.06.000	 Left: 1.0 Right: 1.0
05.24.08.41.06.251	 Left: 1.0 Right: 1.0
05.24.08.41.06.501	 Left: 2.0 Right: 1.0
05.24.08.41.06.751	 Left: 2.0 Right: 1.0
05.24.08.41.07.002	 Left: 2.0 Right: 1.0
05.24.08.41.07.252	 Left: 2.0 Right: -1.0
05.24.08.41.07.502	 Left: 2.0 Right: -1.0
05.24.08.41.07.752	 Left: 2.0 Right: -1.0
05.24.08.41.08.002	 Left: 1.0 Right: -1.0
05.24.08.41.08.253	 Left: 1.0 Right: -1.0
05.24.08.41.08.503	 Left: 1.0 Right: -1.0
05.24.08.41.08.753	 Left: 1.0 Right: -1.0
05.24.08.41.09.003	 Left: 1.0 Right: -1.0
05.24.08.41.09.253	 Left: 1.0 Right: -1.0
05.24.08.41.09.503	 Left: 1.0 Right: -1.0
05.24.08.41.09.754	 Left: 1.0 Right: -1.0
05.24.08.41.10.004	 Left: -1.0 Right: 1.0
05.24.08.41.10.255	 Left: -1.0 Right: 1.0
05.24.08.41.10.505	 Left: -1.0 Right: 1.0
05.24.08.41.10.755	 Left: -1.0 Right: 1.0
05.24.08.41.11.006	 Left: -1.0 Right: 1.0
05.24.08.41.11.256	 Left: -1.0 Right: 1.0
05.24.08.41.11.506	 Left: -1.0 Right: 1.0
05.24.08.41.11.757	 Left: -1.0 Right: 1.0
05.24.08.41.12.007	 Left: -1.0 Right: 4.0
05.24.08.41.12.257	 Left: -1.0 Right: 4.0
05.24.08.41.12.508	 Left: -1.0 Right: 4.0
05.24.08.41.12.758	 Left: -1.0 Right: 4.0
