05.25.10.18.29.090	 Left: -1.0 Right: 1.0
05.25.10.18.29.341	 Left: -1.0 Right: 1.0
05.25.10.18.29.591	 Left: -1.0 Right: 1.0
05.25.10.18.29.841	 Left: -1.0 Right: 1.0
05.25.10.18.30.091	 Left: -1.0 Right: 1.0
05.25.10.18.30.342	 Left: -1.0 Right: 1.0
05.25.10.18.30.592	 Left: -1.0 Right: 1.0
05.25.10.18.30.842	 Left: -1.0 Right: 1.0
05.25.10.18.31.093	 Left: -1.0 Right: 1.0
05.25.10.18.31.343	 Left: -1.0 Right: 1.0
05.25.10.18.31.593	 Left: -1.0 Right: 1.0
05.25.10.18.31.843	 Left: -1.0 Right: 1.0
05.25.10.18.32.093	 Left: -1.0 Right: 1.0
05.25.10.18.32.344	 Left: -1.0 Right: 1.0
05.25.10.18.32.594	 Left: -1.0 Right: 1.0
05.25.10.18.32.845	 Left: -1.0 Right: 1.0
05.25.10.18.33.095	 Left: -1.0 Right: 1.0
05.25.10.18.33.345	 Left: -1.0 Right: 1.0
05.25.10.18.33.595	 Left: -1.0 Right: 1.0
05.25.10.18.33.846	 Left: -1.0 Right: 1.0
05.25.10.18.34.096	 Left: -1.0 Right: 1.0
05.25.10.18.34.346	 Left: -1.0 Right: 1.0
05.25.10.18.34.597	 Left: -1.0 Right: 1.0
05.25.10.18.34.847	 Left: -1.0 Right: 1.0
05.25.10.18.35.098	 Left: -1.0 Right: 1.0
05.25.10.18.35.348	 Left: -1.0 Right: 1.0
05.25.10.18.35.598	 Left: -1.0 Right: 1.0
05.25.10.18.35.849	 Left: -1.0 Right: 1.0
05.25.10.18.36.099	 Left: -1.0 Right: 1.0
05.25.10.18.36.349	 Left: -1.0 Right: 1.0
05.25.10.18.36.600	 Left: -1.0 Right: 1.0
05.25.10.18.36.850	 Left: 1.0 Right: 1.0
05.25.10.18.37.101	 Left: 1.0 Right: 1.0
05.25.10.18.37.351	 Left: 1.0 Right: 1.0
05.25.10.18.37.601	 Left: 1.0 Right: 1.0
05.25.10.18.37.852	 Left: 1.0 Right: 1.0
05.25.10.18.38.102	 Left: 1.0 Right: 1.0
05.25.10.18.38.352	 Left: 1.0 Right: 1.0
05.25.10.18.38.602	 Left: 1.0 Right: 1.0
05.25.10.18.38.852	 Left: 1.0 Right: 1.0
05.25.10.18.39.103	 Left: 1.0 Right: 1.0
05.25.10.18.39.354	 Left: 1.0 Right: 1.0
05.25.10.18.39.605	 Left: 1.0 Right: 1.0
05.25.10.18.39.855	 Left: 1.0 Right: 1.0
05.25.10.18.40.106	 Left: 1.0 Right: 1.0
05.25.10.18.40.357	 Left: 1.0 Right: 1.0
05.25.10.18.40.607	 Left: 1.0 Right: 1.0
05.25.10.18.40.857	 Left: 1.0 Right: 1.0
05.25.10.18.41.107	 Left: 1.0 Right: 1.0
05.25.10.18.41.357	 Left: 1.0 Right: 1.0
05.25.10.18.41.608	 Left: 1.0 Right: 1.0
05.25.10.18.41.858	 Left: 1.0 Right: 1.0
05.25.10.18.42.108	 Left: 1.0 Right: 1.0
05.25.10.18.42.358	 Left: 1.0 Right: 1.0
05.25.10.18.42.608	 Left: 1.0 Right: 1.0
05.25.10.18.42.858	 Left: 1.0 Right: 1.0
05.25.10.18.43.109	 Left: 1.0 Right: 1.0
05.25.10.18.43.359	 Left: 1.0 Right: 1.0
05.25.10.18.43.609	 Left: 1.0 Right: 1.0
05.25.10.18.43.860	 Left: 1.0 Right: 1.0
05.25.10.18.44.111	 Left: 1.0 Right: 1.0
05.25.10.18.44.361	 Left: 1.0 Right: 1.0
05.25.10.18.44.611	 Left: 1.0 Right: 1.0
05.25.10.18.44.862	 Left: 1.0 Right: 1.0
05.25.10.18.45.112	 Left: 1.0 Right: 1.0
05.25.10.18.45.362	 Left: 1.0 Right: 1.0
05.25.10.18.45.613	 Left: 1.0 Right: 1.0
05.25.10.18.45.863	 Left: 1.0 Right: 1.0
05.25.10.18.46.113	 Left: 1.0 Right: 1.0
05.25.10.18.46.363	 Left: 1.0 Right: 1.0
05.25.10.18.46.613	 Left: 1.0 Right: 1.0
05.25.10.18.46.863	 Left: 1.0 Right: 1.0
05.25.10.18.47.114	 Left: 1.0 Right: 0.0
05.25.10.18.47.364	 Left: 1.0 Right: 0.0
05.25.10.18.47.614	 Left: 1.0 Right: 4.0
05.25.10.18.47.864	 Left: 1.0 Right: 4.0
05.25.10.18.48.115	 Left: 1.0 Right: 4.0
05.25.10.18.48.365	 Left: 1.0 Right: 4.0
05.25.10.18.48.615	 Left: 1.0 Right: 0.0
05.25.10.18.48.865	 Left: 1.0 Right: 4.0
05.25.10.18.49.116	 Left: 1.0 Right: 4.0
05.25.10.18.49.366	 Left: 1.0 Right: 4.0
05.25.10.18.49.616	 Left: 1.0 Right: 4.0
05.25.10.18.49.867	 Left: 1.0 Right: 4.0
05.25.10.18.50.117	 Left: 1.0 Right: 4.0
05.25.10.18.50.368	 Left: 1.0 Right: 4.0
05.25.10.18.50.618	 Left: 1.0 Right: 4.0
05.25.10.18.50.868	 Left: 1.0 Right: 4.0
05.25.10.18.51.118	 Left: 1.0 Right: 4.0
05.25.10.18.51.369	 Left: 1.0 Right: 4.0
05.25.10.18.51.619	 Left: 1.0 Right: 4.0
05.25.10.18.51.870	 Left: 1.0 Right: 4.0
05.25.10.18.52.120	 Left: 1.0 Right: 0.0
05.25.10.18.52.370	 Left: 1.0 Right: 0.0
05.25.10.18.52.620	 Left: 1.0 Right: 1.0
05.25.10.18.52.871	 Left: 1.0 Right: 1.0
05.25.10.18.53.121	 Left: 1.0 Right: 1.0
05.25.10.18.53.371	 Left: 1.0 Right: 1.0
05.25.10.18.53.622	 Left: 1.0 Right: 1.0
05.25.10.18.53.872	 Left: 1.0 Right: 1.0
05.25.10.18.54.122	 Left: 1.0 Right: 1.0
05.25.10.18.54.373	 Left: 1.0 Right: 1.0
05.25.10.18.54.623	 Left: 1.0 Right: 1.0
05.25.10.18.54.873	 Left: 1.0 Right: 1.0
05.25.10.18.55.123	 Left: 1.0 Right: 1.0
05.25.10.18.55.373	 Left: 1.0 Right: 1.0
05.25.10.18.55.625	 Left: 1.0 Right: 1.0
05.25.10.18.55.875	 Left: 1.0 Right: 1.0
05.25.10.18.56.126	 Left: 1.0 Right: 1.0
05.25.10.18.56.376	 Left: 1.0 Right: 1.0
05.25.10.18.56.626	 Left: 1.0 Right: 1.0
05.25.10.18.56.877	 Left: 1.0 Right: 1.0
05.25.10.18.57.127	 Left: 1.0 Right: 1.0
05.25.10.18.57.377	 Left: 1.0 Right: 1.0
05.25.10.18.57.628	 Left: 1.0 Right: 1.0
05.25.10.18.57.878	 Left: 2.0 Right: 1.0
05.25.10.18.58.128	 Left: 2.0 Right: 1.0
05.25.10.18.58.378	 Left: 2.0 Right: 1.0
05.25.10.18.58.629	 Left: 2.0 Right: 1.0
05.25.10.18.58.880	 Left: 2.0 Right: 1.0
05.25.10.18.59.130	 Left: 2.0 Right: 1.0
05.25.10.18.59.380	 Left: 2.0 Right: 1.0
05.25.10.18.59.630	 Left: 2.0 Right: 1.0
05.25.10.18.59.880	 Left: 2.0 Right: 1.0
05.25.10.19.00.130	 Left: 2.0 Right: 1.0
05.25.10.19.00.381	 Left: 2.0 Right: 1.0
05.25.10.19.00.631	 Left: 2.0 Right: 1.0
05.25.10.19.00.881	 Left: 2.0 Right: 1.0
05.25.10.19.01.131	 Left: 2.0 Right: 1.0
05.25.10.19.01.381	 Left: 2.0 Right: 1.0
05.25.10.19.01.632	 Left: 2.0 Right: 1.0
05.25.10.19.01.882	 Left: 2.0 Right: 1.0
05.25.10.19.02.132	 Left: 2.0 Right: 1.0
05.25.10.19.02.383	 Left: 1.0 Right: 1.0
05.25.10.19.02.633	 Left: 1.0 Right: 1.0
05.25.10.19.02.883	 Left: 1.0 Right: 1.0
05.25.10.19.03.133	 Left: 1.0 Right: 1.0
05.25.10.19.03.384	 Left: 1.0 Right: 1.0
05.25.10.19.03.634	 Left: 1.0 Right: 1.0
05.25.10.19.03.885	 Left: 1.0 Right: 1.0
05.25.10.19.04.135	 Left: 1.0 Right: 1.0
05.25.10.19.04.386	 Left: 1.0 Right: 1.0
05.25.10.19.04.636	 Left: 1.0 Right: 1.0
05.25.10.19.04.886	 Left: 1.0 Right: 2.0
05.25.10.19.05.137	 Left: 1.0 Right: 2.0
05.25.10.19.05.387	 Left: 1.0 Right: 0.0
05.25.10.19.05.637	 Left: 1.0 Right: 0.0
05.25.10.19.05.887	 Left: 1.0 Right: 0.0
05.25.10.19.06.137	 Left: 1.0 Right: 0.0
05.25.10.19.06.389	 Left: 1.0 Right: 0.0
05.25.10.19.06.639	 Left: 1.0 Right: 0.0
05.25.10.19.06.889	 Left: 1.0 Right: 0.0
05.25.10.19.07.141	 Left: 1.0 Right: 0.0
05.25.10.19.07.391	 Left: 1.0 Right: 0.0
05.25.10.19.07.642	 Left: 1.0 Right: 0.0
05.25.10.19.07.892	 Left: 1.0 Right: 0.0
05.25.10.19.08.142	 Left: 1.0 Right: 2.0
05.25.10.19.08.393	 Left: 1.0 Right: 1.0
05.25.10.19.08.643	 Left: 1.0 Right: 1.0
05.25.10.19.08.893	 Left: 1.0 Right: 1.0
05.25.10.19.09.144	 Left: 1.0 Right: 1.0
05.25.10.19.09.394	 Left: 1.0 Right: 2.0
05.25.10.19.09.645	 Left: 1.0 Right: 0.0
05.25.10.19.09.895	 Left: 1.0 Right: 2.0
05.25.10.19.10.146	 Left: 1.0 Right: 2.0
05.25.10.19.10.396	 Left: 1.0 Right: 2.0
05.25.10.19.10.646	 Left: 1.0 Right: 2.0
05.25.10.19.10.897	 Left: 1.0 Right: 2.0
05.25.10.19.11.147	 Left: 1.0 Right: 2.0
05.25.10.19.11.397	 Left: 1.0 Right: 2.0
05.25.10.19.11.647	 Left: 1.0 Right: 2.0
05.25.10.19.11.898	 Left: 1.0 Right: 2.0
05.25.10.19.12.148	 Left: 1.0 Right: 2.0
05.25.10.19.12.398	 Left: 1.0 Right: 2.0
05.25.10.19.12.649	 Left: 1.0 Right: 2.0
05.25.10.19.12.899	 Left: 1.0 Right: 2.0
05.25.10.19.13.149	 Left: 1.0 Right: 2.0
05.25.10.19.13.400	 Left: 1.0 Right: 2.0
05.25.10.19.13.651	 Left: 1.0 Right: 2.0
05.25.10.19.13.901	 Left: 1.0 Right: 2.0
05.25.10.19.14.152	 Left: 1.0 Right: 2.0
05.25.10.19.14.402	 Left: 1.0 Right: 2.0
05.25.10.19.14.652	 Left: 1.0 Right: 2.0
05.25.10.19.14.902	 Left: 1.0 Right: 2.0
05.25.10.19.15.152	 Left: 1.0 Right: 2.0
05.25.10.19.15.402	 Left: 1.0 Right: 2.0
05.25.10.19.15.653	 Left: 1.0 Right: 2.0
05.25.10.19.15.903	 Left: 1.0 Right: 2.0
05.25.10.19.16.154	 Left: 1.0 Right: 2.0
05.25.10.19.16.406	 Left: 1.0 Right: 2.0
05.25.10.19.16.656	 Left: 1.0 Right: 2.0
05.25.10.19.16.907	 Left: 1.0 Right: 2.0
05.25.10.19.17.157	 Left: 1.0 Right: 2.0
05.25.10.19.17.407	 Left: 1.0 Right: 2.0
05.25.10.19.17.658	 Left: 1.0 Right: 2.0
05.25.10.19.17.909	 Left: 1.0 Right: 2.0
05.25.10.19.18.159	 Left: 1.0 Right: 2.0
05.25.10.19.18.410	 Left: 1.0 Right: 2.0
05.25.10.19.18.661	 Left: 1.0 Right: 2.0
05.25.10.19.18.912	 Left: 1.0 Right: 2.0
05.25.10.19.19.162	 Left: 1.0 Right: 2.0
05.25.10.19.19.412	 Left: 1.0 Right: 1.0
05.25.10.19.19.663	 Left: 1.0 Right: 4.0
05.25.10.19.19.913	 Left: 1.0 Right: 4.0
05.25.10.19.20.163	 Left: 1.0 Right: 4.0
05.25.10.19.20.413	 Left: 1.0 Right: 4.0
05.25.10.19.20.663	 Left: 1.0 Right: 4.0
05.25.10.19.20.914	 Left: 1.0 Right: 4.0
05.25.10.19.21.164	 Left: 1.0 Right: 4.0
05.25.10.19.21.417	 Left: 1.0 Right: 4.0
05.25.10.19.21.668	 Left: 1.0 Right: 4.0
05.25.10.19.21.919	 Left: 1.0 Right: 4.0
05.25.10.19.22.168	 Left: 1.0 Right: 4.0
05.25.10.19.22.419	 Left: 1.0 Right: 4.0
05.25.10.19.22.669	 Left: 1.0 Right: 4.0
05.25.10.19.22.919	 Left: 1.0 Right: 4.0
05.25.10.19.23.171	 Left: 1.0 Right: 4.0
05.25.10.19.23.420	 Left: 1.0 Right: 4.0
05.25.10.19.23.671	 Left: 1.0 Right: 4.0
05.25.10.19.23.921	 Left: 1.0 Right: 4.0
05.25.10.19.24.171	 Left: 1.0 Right: 4.0
05.25.10.19.24.422	 Left: 1.0 Right: 4.0
05.25.10.19.24.672	 Left: 1.0 Right: 4.0
05.25.10.19.24.922	 Left: 1.0 Right: 4.0
05.25.10.19.25.172	 Left: 1.0 Right: 4.0
05.25.10.19.25.423	 Left: 1.0 Right: 4.0
05.25.10.19.25.673	 Left: 1.0 Right: 4.0
05.25.10.19.25.923	 Left: 1.0 Right: 4.0
05.25.10.19.26.174	 Left: 1.0 Right: 4.0
05.25.10.19.26.424	 Left: 1.0 Right: 4.0
05.25.10.19.26.674	 Left: 1.0 Right: 4.0
05.25.10.19.26.924	 Left: 1.0 Right: 4.0
05.25.10.19.27.175	 Left: 1.0 Right: 4.0
05.25.10.19.27.425	 Left: 1.0 Right: 4.0
05.25.10.19.27.675	 Left: 1.0 Right: 4.0
05.25.10.19.27.925	 Left: 1.0 Right: 4.0
05.25.10.19.28.175	 Left: 1.0 Right: 4.0
05.25.10.19.28.427	 Left: 1.0 Right: 4.0
05.25.10.19.28.676	 Left: 1.0 Right: 4.0
05.25.10.19.28.926	 Left: 1.0 Right: 4.0
05.25.10.19.29.176	 Left: 1.0 Right: 4.0
05.25.10.19.29.427	 Left: 1.0 Right: 4.0
05.25.10.19.29.678	 Left: 1.0 Right: 4.0
05.25.10.19.29.928	 Left: 1.0 Right: 4.0
05.25.10.19.30.178	 Left: 1.0 Right: 4.0
05.25.10.19.30.428	 Left: 1.0 Right: 4.0
05.25.10.19.30.678	 Left: 1.0 Right: 4.0
05.25.10.19.30.929	 Left: 1.0 Right: 0.0
05.25.10.19.31.179	 Left: 1.0 Right: 4.0
05.25.10.19.31.430	 Left: 1.0 Right: 4.0
05.25.10.19.31.680	 Left: 1.0 Right: 4.0
05.25.10.19.31.930	 Left: 1.0 Right: 4.0
05.25.10.19.32.181	 Left: 1.0 Right: 4.0
05.25.10.19.32.431	 Left: 1.0 Right: 4.0
05.25.10.19.32.682	 Left: 1.0 Right: 4.0
05.25.10.19.32.932	 Left: 1.0 Right: 4.0
05.25.10.19.33.182	 Left: 1.0 Right: 4.0
05.25.10.19.33.433	 Left: 1.0 Right: 4.0
05.25.10.19.33.683	 Left: 1.0 Right: 4.0
05.25.10.19.33.934	 Left: 1.0 Right: 4.0
05.25.10.19.34.184	 Left: 1.0 Right: 4.0
05.25.10.19.34.434	 Left: 1.0 Right: 4.0
05.25.10.19.34.684	 Left: 1.0 Right: 4.0
05.25.10.19.34.934	 Left: 1.0 Right: 4.0
05.25.10.19.35.184	 Left: 1.0 Right: 4.0
05.25.10.19.35.435	 Left: 1.0 Right: 4.0
05.25.10.19.35.685	 Left: 1.0 Right: 4.0
05.25.10.19.35.935	 Left: 1.0 Right: 4.0
05.25.10.19.36.186	 Left: 1.0 Right: 4.0
05.25.10.19.36.436	 Left: 1.0 Right: 4.0
05.25.10.19.36.687	 Left: 1.0 Right: 4.0
05.25.10.19.36.937	 Left: 1.0 Right: 4.0
05.25.10.19.37.187	 Left: 1.0 Right: 4.0
05.25.10.19.37.438	 Left: 1.0 Right: 4.0
05.25.10.19.37.689	 Left: 1.0 Right: 4.0
05.25.10.19.37.939	 Left: 1.0 Right: 4.0
05.25.10.19.38.190	 Left: 1.0 Right: 4.0
05.25.10.19.38.440	 Left: 1.0 Right: 4.0
05.25.10.19.38.691	 Left: 1.0 Right: 4.0
05.25.10.19.38.942	 Left: 1.0 Right: 4.0
05.25.10.19.39.192	 Left: 1.0 Right: 4.0
05.25.10.19.39.442	 Left: 1.0 Right: 4.0
05.25.10.19.39.693	 Left: 1.0 Right: 4.0
05.25.10.19.39.944	 Left: 1.0 Right: 4.0
05.25.10.19.40.194	 Left: 1.0 Right: 4.0
05.25.10.19.40.444	 Left: 1.0 Right: 4.0
05.25.10.19.40.695	 Left: 1.0 Right: 4.0
05.25.10.19.40.945	 Left: 1.0 Right: 4.0
05.25.10.19.41.195	 Left: 1.0 Right: 4.0
05.25.10.19.41.446	 Left: 1.0 Right: 4.0
05.25.10.19.41.696	 Left: 1.0 Right: 4.0
05.25.10.19.41.946	 Left: 1.0 Right: 4.0
05.25.10.19.42.197	 Left: 1.0 Right: 4.0
05.25.10.19.42.447	 Left: 1.0 Right: 4.0
05.25.10.19.42.697	 Left: 1.0 Right: 4.0
05.25.10.19.42.947	 Left: 1.0 Right: 4.0
05.25.10.19.43.198	 Left: 1.0 Right: 4.0
05.25.10.19.43.448	 Left: 1.0 Right: 4.0
05.25.10.19.43.699	 Left: 1.0 Right: 4.0
05.25.10.19.43.949	 Left: 1.0 Right: 4.0
05.25.10.19.44.200	 Left: 1.0 Right: 4.0
05.25.10.19.44.450	 Left: 1.0 Right: 4.0
05.25.10.19.44.701	 Left: 1.0 Right: 4.0
05.25.10.19.44.951	 Left: 1.0 Right: 4.0
05.25.10.19.45.201	 Left: 1.0 Right: 4.0
05.25.10.19.45.451	 Left: 1.0 Right: 4.0
05.25.10.19.45.702	 Left: 1.0 Right: 4.0
05.25.10.19.45.952	 Left: 1.0 Right: 4.0
05.25.10.19.46.203	 Left: 1.0 Right: 4.0
05.25.10.19.46.453	 Left: 1.0 Right: 4.0
05.25.10.19.46.704	 Left: 1.0 Right: 4.0
05.25.10.19.46.954	 Left: 1.0 Right: 4.0
05.25.10.19.47.204	 Left: 1.0 Right: 4.0
05.25.10.19.47.455	 Left: 1.0 Right: 4.0
05.25.10.19.47.705	 Left: 1.0 Right: 4.0
05.25.10.19.47.955	 Left: 1.0 Right: 0.0
05.25.10.19.48.206	 Left: 1.0 Right: 3.0
05.25.10.19.48.456	 Left: 1.0 Right: 3.0
05.25.10.19.48.706	 Left: 1.0 Right: 0.0
05.25.10.19.48.956	 Left: 1.0 Right: 0.0
