06.10.15.13.48.388	 Left: 2.0 Right: 4.0
06.10.15.13.48.638	 Left: -1.0 Right: 4.0
06.10.15.13.48.889	 Left: -1.0 Right: 4.0
06.10.15.13.49.139	 Left: -1.0 Right: 4.0
06.10.15.13.49.390	 Left: 0.0 Right: 4.0
06.10.15.13.49.641	 Left: 0.0 Right: 4.0
06.10.15.13.49.891	 Left: 0.0 Right: 1.0
06.10.15.13.50.143	 Left: 0.0 Right: 1.0
06.10.15.13.50.392	 Left: 0.0 Right: 0.0
06.10.15.13.50.642	 Left: 0.0 Right: 4.0
06.10.15.13.50.893	 Left: 1.0 Right: 4.0
06.10.15.13.51.143	 Left: 1.0 Right: 4.0
06.10.15.13.51.394	 Left: 1.0 Right: 0.0
06.10.15.13.51.646	 Left: 1.0 Right: 0.0
06.10.15.13.51.894	 Left: -1.0 Right: 1.0
06.10.15.13.52.145	 Left: -1.0 Right: 1.0
06.10.15.13.52.395	 Left: -1.0 Right: 1.0
06.10.15.13.52.646	 Left: -1.0 Right: 1.0
06.10.15.13.52.896	 Left: -1.0 Right: 1.0
06.10.15.13.53.146	 Left: -1.0 Right: 1.0
06.10.15.13.53.397	 Left: -1.0 Right: 1.0
06.10.15.13.53.648	 Left: -1.0 Right: 1.0
06.10.15.13.53.897	 Left: -1.0 Right: 1.0
06.10.15.13.54.147	 Left: -1.0 Right: 1.0
06.10.15.13.54.398	 Left: -1.0 Right: 1.0
06.10.15.13.54.648	 Left: -1.0 Right: 1.0
06.10.15.13.54.898	 Left: -1.0 Right: 1.0
06.10.15.13.55.149	 Left: -1.0 Right: 1.0
06.10.15.13.55.399	 Left: -1.0 Right: 1.0
06.10.15.13.55.650	 Left: -1.0 Right: 0.0
06.10.15.13.55.902	 Left: -1.0 Right: 0.0
06.10.15.13.56.151	 Left: -1.0 Right: 0.0
06.10.15.13.56.401	 Left: -1.0 Right: 2.0
06.10.15.13.56.651	 Left: -1.0 Right: 2.0
06.10.15.13.56.902	 Left: -1.0 Right: 2.0
06.10.15.13.57.152	 Left: -1.0 Right: 2.0
06.10.15.13.57.403	 Left: -1.0 Right: 2.0
06.10.15.13.57.653	 Left: -1.0 Right: 2.0
06.10.15.13.57.905	 Left: -1.0 Right: 2.0
06.10.15.13.58.153	 Left: -1.0 Right: 2.0
06.10.15.13.58.404	 Left: -1.0 Right: 2.0
06.10.15.13.58.653	 Left: -1.0 Right: 2.0
06.10.15.13.58.904	 Left: 2.0 Right: 2.0
06.10.15.13.59.154	 Left: 1.0 Right: 2.0
06.10.15.13.59.405	 Left: 1.0 Right: 2.0
06.10.15.13.59.655	 Left: 2.0 Right: 0.0
06.10.15.13.59.905	 Left: 1.0 Right: 2.0
06.10.15.14.00.156	 Left: 1.0 Right: 2.0
06.10.15.14.00.406	 Left: 1.0 Right: 2.0
06.10.15.14.00.656	 Left: -1.0 Right: 1.0
06.10.15.14.00.906	 Left: 1.0 Right: -1.0
06.10.15.14.01.156	 Left: 1.0 Right: -1.0
06.10.15.14.01.407	 Left: 1.0 Right: -1.0
06.10.15.14.01.657	 Left: 1.0 Right: 4.0
06.10.15.14.01.907	 Left: 1.0 Right: 2.0
06.10.15.14.02.158	 Left: 1.0 Right: 2.0
06.10.15.14.02.408	 Left: 1.0 Right: 2.0
06.10.15.14.02.658	 Left: 1.0 Right: 1.0
06.10.15.14.02.908	 Left: 1.0 Right: 1.0
06.10.15.14.03.159	 Left: 1.0 Right: 1.0
06.10.15.14.03.409	 Left: 1.0 Right: 1.0
06.10.15.14.03.660	 Left: 1.0 Right: 1.0
06.10.15.14.03.910	 Left: 1.0 Right: 1.0
06.10.15.14.04.160	 Left: 1.0 Right: 1.0
06.10.15.14.04.410	 Left: 1.0 Right: 1.0
06.10.15.14.04.661	 Left: 1.0 Right: 1.0
06.10.15.14.04.911	 Left: 1.0 Right: 1.0
06.10.15.14.05.162	 Left: 1.0 Right: 1.0
06.10.15.14.05.412	 Left: 1.0 Right: 1.0
06.10.15.14.05.663	 Left: 1.0 Right: 1.0
06.10.15.14.05.913	 Left: 1.0 Right: 1.0
06.10.15.14.06.164	 Left: 1.0 Right: 1.0
06.10.15.14.06.414	 Left: 1.0 Right: 1.0
06.10.15.14.06.664	 Left: 1.0 Right: 1.0
06.10.15.14.06.915	 Left: 1.0 Right: 1.0
06.10.15.14.07.166	 Left: 1.0 Right: 1.0
06.10.15.14.07.416	 Left: 1.0 Right: 1.0
06.10.15.14.07.666	 Left: 1.0 Right: 1.0
06.10.15.14.07.917	 Left: 1.0 Right: 1.0
06.10.15.14.08.167	 Left: 1.0 Right: 1.0
06.10.15.14.08.417	 Left: 1.0 Right: 1.0
06.10.15.14.08.668	 Left: 1.0 Right: 1.0
06.10.15.14.08.918	 Left: 1.0 Right: 1.0
06.10.15.14.09.168	 Left: 1.0 Right: 1.0
06.10.15.14.09.419	 Left: 1.0 Right: 1.0
06.10.15.14.09.669	 Left: 1.0 Right: 1.0
06.10.15.14.09.919	 Left: 1.0 Right: 1.0
06.10.15.14.10.169	 Left: 1.0 Right: 1.0
06.10.15.14.10.420	 Left: 1.0 Right: 1.0
06.10.15.14.10.670	 Left: 1.0 Right: 1.0
