06.14.12.41.16.150	 Left: -1.0 Right: -1.0
06.14.12.41.16.307	 Left: 1.0 Right: 1.0
06.14.12.41.16.557	 Left: 1.0 Right: 1.0
06.14.12.41.16.808	 Left: 1.0 Right: 1.0
06.14.12.41.17.059	 Left: 1.0 Right: 1.0
06.14.12.41.17.309	 Left: 1.0 Right: 1.0
06.14.12.41.17.560	 Left: 1.0 Right: 1.0
06.14.12.41.17.811	 Left: 1.0 Right: 1.0
06.14.12.41.18.062	 Left: 1.0 Right: 1.0
06.14.12.41.18.313	 Left: 1.0 Right: 1.0
06.14.12.41.18.564	 Left: 1.0 Right: 1.0
06.14.12.41.18.814	 Left: 1.0 Right: 1.0
06.14.12.41.19.065	 Left: 1.0 Right: 1.0
06.14.12.41.19.315	 Left: 1.0 Right: 1.0
06.14.12.41.19.565	 Left: 1.0 Right: 1.0
06.14.12.41.19.816	 Left: 1.0 Right: 1.0
06.14.12.41.20.066	 Left: 1.0 Right: 1.0
06.14.12.41.20.317	 Left: 1.0 Right: 1.0
06.14.12.41.20.569	 Left: 1.0 Right: 1.0
06.14.12.41.20.820	 Left: 1.0 Right: 1.0
06.14.12.41.21.071	 Left: 1.0 Right: 1.0
06.14.12.41.21.321	 Left: 1.0 Right: 1.0
06.14.12.41.21.571	 Left: 1.0 Right: 1.0
06.14.12.41.21.821	 Left: 1.0 Right: 1.0
06.14.12.41.22.072	 Left: 1.0 Right: 1.0
06.14.12.41.22.323	 Left: 1.0 Right: 1.0
06.14.12.41.22.573	 Left: 1.0 Right: 1.0
06.14.12.41.22.825	 Left: 1.0 Right: 1.0
06.14.12.41.23.074	 Left: 1.0 Right: 1.0
06.14.12.41.23.324	 Left: 1.0 Right: 1.0
06.14.12.41.23.575	 Left: 1.0 Right: 1.0
06.14.12.41.23.826	 Left: 1.0 Right: 1.0
06.14.12.41.24.076	 Left: 1.0 Right: 1.0
06.14.12.41.24.327	 Left: 1.0 Right: 1.0
06.14.12.41.24.578	 Left: 1.0 Right: 1.0
06.14.12.41.24.832	 Left: 1.0 Right: 1.0
06.14.12.41.25.083	 Left: 1.0 Right: 1.0
06.14.12.41.25.333	 Left: 1.0 Right: 1.0
06.14.12.41.25.584	 Left: 1.0 Right: 1.0
06.14.12.41.25.834	 Left: 1.0 Right: 1.0
06.14.12.41.26.084	 Left: 1.0 Right: 1.0
06.14.12.41.26.334	 Left: 1.0 Right: 1.0
06.14.12.41.26.584	 Left: 1.0 Right: 1.0
06.14.12.41.26.835	 Left: 1.0 Right: 1.0
06.14.12.41.27.086	 Left: 1.0 Right: 1.0
06.14.12.41.27.337	 Left: 1.0 Right: 1.0
06.14.12.41.27.587	 Left: 1.0 Right: 1.0
06.14.12.41.27.837	 Left: 1.0 Right: 1.0
06.14.12.41.28.088	 Left: 1.0 Right: 1.0
06.14.12.41.28.339	 Left: 1.0 Right: 1.0
06.14.12.41.28.589	 Left: 1.0 Right: 1.0
06.14.12.41.28.840	 Left: 1.0 Right: 1.0
06.14.12.41.29.091	 Left: 1.0 Right: 1.0
06.14.12.41.29.341	 Left: 1.0 Right: 1.0
06.14.12.41.29.592	 Left: 1.0 Right: 1.0
06.14.12.41.29.843	 Left: 1.0 Right: 1.0
06.14.12.41.30.094	 Left: 1.0 Right: 1.0
06.14.12.41.30.344	 Left: 1.0 Right: 1.0
06.14.12.41.30.595	 Left: 1.0 Right: 1.0
06.14.12.41.30.846	 Left: 1.0 Right: 1.0
06.14.12.41.31.096	 Left: 1.0 Right: 1.0
06.14.12.41.31.347	 Left: 1.0 Right: 1.0
06.14.12.41.31.597	 Left: 1.0 Right: 1.0
06.14.12.41.31.848	 Left: 1.0 Right: 1.0
06.14.12.41.32.098	 Left: 1.0 Right: 1.0
06.14.12.41.32.348	 Left: 1.0 Right: 1.0
06.14.12.41.32.598	 Left: 1.0 Right: 1.0
06.14.12.41.32.849	 Left: 1.0 Right: 1.0
06.14.12.41.33.099	 Left: 1.0 Right: 1.0
06.14.12.41.33.350	 Left: 1.0 Right: 1.0
06.14.12.41.33.600	 Left: 1.0 Right: 1.0
06.14.12.41.33.852	 Left: 1.0 Right: 1.0
06.14.12.41.34.102	 Left: 1.0 Right: 1.0
06.14.12.41.34.353	 Left: 1.0 Right: 1.0
06.14.12.41.34.604	 Left: 1.0 Right: 1.0
06.14.12.41.34.854	 Left: 1.0 Right: 1.0
06.14.12.41.35.105	 Left: 1.0 Right: 1.0
06.14.12.41.35.356	 Left: 1.0 Right: 1.0
06.14.12.41.35.607	 Left: 1.0 Right: 1.0
06.14.12.41.35.857	 Left: 1.0 Right: 1.0
06.14.12.41.36.108	 Left: 1.0 Right: 0.0
06.14.12.41.36.358	 Left: 1.0 Right: 0.0
06.14.12.41.36.608	 Left: 1.0 Right: 3.0
06.14.12.41.36.859	 Left: 1.0 Right: 4.0
06.14.12.41.37.110	 Left: 1.0 Right: 0.0
06.14.12.41.37.361	 Left: 1.0 Right: 4.0
06.14.12.41.37.611	 Left: 1.0 Right: 4.0
06.14.12.41.37.863	 Left: 1.0 Right: 4.0
06.14.12.41.38.113	 Left: 1.0 Right: 0.0
06.14.12.41.38.364	 Left: 1.0 Right: 1.0
06.14.12.41.38.616	 Left: 2.0 Right: 1.0
06.14.12.41.38.865	 Left: -1.0 Right: 1.0
06.14.12.41.39.116	 Left: -1.0 Right: 1.0
06.14.12.41.39.366	 Left: -1.0 Right: 1.0
06.14.12.41.39.616	 Left: -1.0 Right: 1.0
06.14.12.41.39.867	 Left: -1.0 Right: 1.0
06.14.12.41.40.118	 Left: -1.0 Right: 1.0
06.14.12.41.40.369	 Left: -1.0 Right: 4.0
06.14.12.41.40.619	 Left: -1.0 Right: 4.0
06.14.12.41.40.870	 Left: -1.0 Right: 4.0
06.14.12.41.41.121	 Left: -1.0 Right: 4.0
06.14.12.41.41.372	 Left: -1.0 Right: 4.0
06.14.12.41.41.622	 Left: -1.0 Right: 1.0
06.14.12.41.41.873	 Left: -1.0 Right: 4.0
06.14.12.41.42.123	 Left: -1.0 Right: 4.0
06.14.12.41.42.374	 Left: -1.0 Right: 1.0
06.14.12.41.42.624	 Left: -1.0 Right: 4.0
06.14.12.41.42.875	 Left: -1.0 Right: 4.0
06.14.12.41.43.125	 Left: -1.0 Right: 1.0
06.14.12.41.43.375	 Left: -1.0 Right: 1.0
06.14.12.41.43.625	 Left: -1.0 Right: 1.0
06.14.12.41.43.877	 Left: -1.0 Right: 1.0
06.14.12.41.44.127	 Left: -1.0 Right: 1.0
06.14.12.41.44.378	 Left: -1.0 Right: 1.0
